ZIP Code,new_policies,renewed_policies,nonrenewed_policies,total_units,median_home_value,Avg_Median_Income_2018_2021,earned_premium,earned_exposure,expiring_policies,Climate_Disasters_Avf_10yr,New_and_Renewed_to_Nonrenewed_Ratio,New_and_Renewed_to_Total_Units_Ratio,Housing_Affordability_Ratio,Relative_Housing_Cost_Index,Premium_to_Exposure_Ratio,Nonrenewal_Rate,Renewal_Resilience
90241,2832,27352,2700,7325,627700.0,72352.0,24360167,40779,30052,2.125,11.17925925925926,4.120682593856655,8.67564130915524,56098.24485493188,597.3703867186542,0.08984426993211767,0.9101557300678823
90242,2659,27186,2535,7322,557700.0,71323.5,19810541,38713,29721,2.125,11.773175542406312,4.076072111444961,7.819302193526678,49906.12447084513,511.72838581355103,0.0852932270112042,0.9147067729887958
90245,1171,12731,1115,3363,1244200.0,112729.75,16124005,24070,13846,0.0,12.468161434977578,4.133809099018733,11.03701551719932,106956.66505545645,669.8797257997508,0.080528672540806,0.919471327459194
90247,2489,25252,2411,7799,540800.0,58444.75,21659291,39909,27663,2.125,11.506014102032351,3.556994486472625,9.25318356225324,49271.86810248929,542.7169560750708,0.08715612912554675,0.9128438708744533
90248,859,8946,866,2372,571200.0,64223.0,7427865,11824,9812,2.125,11.322170900692841,4.133642495784148,8.894009934135745,51598.3721275345,628.2023849797023,0.08825927435792906,0.911740725642071
90249,1972,20539,1913,5473,584000.0,63878.5,16262743,26577,22452,2.125,11.767381076842655,4.113100676046044,9.142356191832933,52780.28215748407,611.9104112578545,0.0852039907357919,0.9147960092642081
90250,4663,47124,4391,13245,661400.0,58926.0,38644035,73731,51515,2.125,11.793896606695514,3.909928274820687,11.22424736109697,60214.65131143866,524.1219432803027,0.08523730952149859,0.9147626904785015
90254,1933,19849,1878,5197,1674500.0,140194.5,32122858,37520,21727,0.0,11.598509052183173,4.1912641908793535,11.94412048974817,141298.64438782173,856.1529317697228,0.08643623141713076,0.9135637685828693
90255,2855,29554,2621,9668,455000.0,47709.5,17278183,40311,32175,0.0,12.365127813811522,3.3521928009929667,9.536884687536025,42235.66532375407,428.62203864950015,0.08146076146076146,0.9185392385392386
90260,2323,23831,2238,6623,597300.0,68503.0,16264306,33771,26069,2.125,11.68632707774799,3.9489657255020383,8.719326160898063,53643.43932253504,481.6056971958189,0.0858490927922053,0.9141509072077947
90262,3137,31719,3046,9565,449600.0,55322.75,18679859,40668,34765,2.125,11.443204202232437,3.644119184526921,8.12685558834295,41168.619255953156,459.325735221796,0.08761685603336689,0.9123831439666331
