,ZIP,Avg_Percentage_2018_2021,Avg_Change_2018_2021,Total_Change_2018_2021
2192,95450,73.15,-1.5,-4.5
2193,95451,75.7,-1.3666666666666647,-4.099999999999994
2194,95452,73.15,-1.5,-4.5
2195,95453,75.7,-1.3666666666666647,-4.099999999999994
2196,95454,81.125,-2.099999999999999,-6.299999999999997
2197,95456,81.125,-2.099999999999999,-6.299999999999997
2198,95457,75.7,-1.3666666666666647,-4.099999999999994
2199,95458,75.7,-1.3666666666666647,-4.099999999999994
2200,95459,81.125,-2.099999999999999,-6.299999999999997
2201,95460,81.125,-2.099999999999999,-6.299999999999997
2202,95461,75.7,-1.3666666666666647,-4.099999999999994
2203,95462,73.15,-1.5,-4.5
2204,95463,81.125,-2.099999999999999,-6.299999999999997
2205,95464,75.7,-1.3666666666666647,-4.099999999999994
2206,95465,73.15,-1.5,-4.5
2207,95466,81.125,-2.099999999999999,-6.299999999999997
2208,95467,75.7,-1.3666666666666647,-4.099999999999994
2209,95468,81.125,-2.099999999999999,-6.299999999999997
2210,95469,81.125,-2.099999999999999,-6.299999999999997
2211,95470,81.125,-2.099999999999999,-6.299999999999997
2212,95471,73.15,-1.5,-4.5
2213,95472,73.15,-1.5,-4.5
2214,95473,73.15,-1.5,-4.5
2215,95476,73.15,-1.5,-4.5
2216,95480,73.15,-1.5,-4.5
2217,95481,81.125,-2.099999999999999,-6.299999999999997
2218,95482,81.125,-2.099999999999999,-6.299999999999997
2219,95485,75.7,-1.3666666666666647,-4.099999999999994
2220,95486,73.15,-1.5,-4.5
2221,95487,73.15,-1.5,-4.5
2222,95488,81.125,-2.099999999999999,-6.299999999999997
2223,95490,81.125,-2.099999999999999,-6.299999999999997
2224,95492,73.15,-1.5,-4.5
2225,95493,75.7,-1.3666666666666647,-4.099999999999994
2226,95494,81.125,-2.099999999999999,-6.299999999999997
2227,95497,73.15,-1.5,-4.5
2228,95501,78.75,-1.2666666666666657,-3.799999999999997
2229,95502,78.75,-1.2666666666666657,-3.799999999999997
2230,95503,78.75,-1.2666666666666657,-3.799999999999997
2231,95511,78.75,-1.2666666666666657,-3.799999999999997
2232,95514,78.75,-1.2666666666666657,-3.799999999999997
2233,95518,78.75,-1.2666666666666657,-3.799999999999997
2234,95519,78.75,-1.2666666666666657,-3.799999999999997
2235,95521,78.75,-1.2666666666666657,-3.799999999999997
2236,95524,78.75,-1.2666666666666657,-3.799999999999997
2237,95525,78.75,-1.2666666666666657,-3.799999999999997
2238,95526,78.75,-1.2666666666666657,-3.799999999999997
